CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MF10N,12/2/14,3rd,1,Algimia,10,N,Fruit,Semi_Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MF10O,12/2/14,3rd,1,Algimia,10,W,Fruit,Exclusion,10,4,6,1,60.0,10.0,-5.57,,,,,
MF11E,12/2/14,3rd,1,Algimia,11,E,Fruit,Semi_Exclusion,29,4,25,0,86.2,0.0,63.60,,,,,
MF11N,12/2/14,3rd,1,Algimia,11,N,Fruit,Predation,18,13,5,0,27.8,0.0,-90.61,,,,,
MF12E,12/2/14,3rd,1,Algimia,12,E,Fruit,Exclusion,17,10,7,6,41.2,35.3,-55.25,,,,,
MF12N,12/2/14,3rd,1,Algimia,12,N,Fruit,Predation,16,2,14,0,87.5,0.0,67.01,,,,,
MF12O,12/2/14,3rd,1,Algimia,12,W,Fruit,Semi_Exclusion,14,7,7,2,50.0,14.3,-31.96,,,,,
MF12S,12/2/14,3rd,1,Algimia,12,S,Fruit,Exclusion,15,0,15,0,100.0,0.0,100.00,,,,,
MF13E,12/2/14,3rd,1,Algimia,13,E,Fruit,Predation,31,1,30,0,96.8,0.0,91.49,,,,,
MF13N,12/2/14,3rd,1,Algimia,13,N,Fruit,Semi_Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MF13O,12/2/14,3rd,1,Algimia,13,W,Fruit,Exclusion,42,18,24,0,57.1,0.0,-13.11,,,,,
MF13S,12/2/14,3rd,1,Algimia,13,S,Fruit,Predation,29,0,29,0,100.0,0.0,100.00,,,,,
MF14E,12/2/14,3rd,1,Algimia,14,E,Fruit,Semi_Exclusion,29,5,24,0,82.8,0.0,54.50,,,,,
MF14N,12/2/14,3rd,1,Algimia,14,N,Fruit,Exclusion,26,0,26,0,100.0,0.0,100.00,,,,,
MF14O,12/2/14,3rd,1,Algimia,14,W,Fruit,Predation,15,0,15,0,100.0,0.0,100.00,,,,,
MF14S,12/2/14,3rd,1,Algimia,14,S,Fruit,Semi_Exclusion,24,4,20,1,83.3,4.2,56.01,,,,,
MF15E,12/2/14,3rd,1,Algimia,15,E,Fruit,Exclusion,27,5,22,3,81.5,11.1,51.12,,,,,
MF15N,12/2/14,3rd,1,Algimia,15,N,Fruit,Predation,22,0,22,0,100.0,0.0,100.00,,,,,
MF15S,12/2/14,3rd,1,Algimia,15,S,Fruit,Exclusion,14,12,2,0,14.3,0.0,-126.22,,,,,
MF16N,12/2/14,3rd,1,Algimia,16,N,Fruit,Semi_Exclusion,21,0,21,0,100.0,0.0,100.00,,,,,
MH1E,12/2/14,3rd,1,IVIA,1,E,Leaf,Semi_Exclusion,22,0,22,0,100.0,0.0,100.00,,,,,
MH1N,12/2/14,3rd,1,IVIA,1,N,Leaf,Predation,20,0,20,0,100.0,0.0,100.00,,,,,
MH1S,12/2/14,3rd,1,IVIA,1,S,Leaf,Semi_Exclusion,28,3,25,0,89.3,0.0,73.47,,,,,
MH2E,12/2/14,3rd,1,IVIA,2,E,Leaf,Predation,30,13,17,5,56.7,16.7,-7.30,,,,,
MH2N,12/2/14,3rd,1,IVIA,2,N,Leaf,Exclusion,12,9,3,0,25.0,0.0,-85.71,,,,,
MH3E,12/2/14,3rd,1,IVIA,3,E,Leaf,Exclusion,32,2,30,0,93.8,0.0,84.52,,,,,
MH3O,12/2/14,3rd,1,IVIA,3,W,Leaf,Predation,12,0,12,1,100.0,8.3,100.00,,,,,
MH4E,12/2/14,3rd,1,IVIA,4,E,Leaf,Exclusion,25,19,6,0,24.0,0.0,-88.19,,,,,
MH4S,12/2/14,3rd,1,IVIA,4,S,Leaf,Semi_Exclusion,17,0,17,0,100.0,0.0,100.00,,,,,
MH5E,12/2/14,3rd,1,IVIA,5,E,Leaf,Predation,17,2,15,1,88.2,5.9,70.87,,,,,
